Abbreviation,OfficialName,"Equation (note [c] and [e] at the beginning refer to the compartment the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,ProteinClassDescription,Ref. (listed below),,,
DHAD1,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",[c]23dhmb --> 3mob + h2o,"Valine, leucine, and isoleucine metabolism",EC-4.2.1.9,,,,
ILETA,isoleucine transaminase,[c]akg + ile-L <==> 3mop + glu-L,"Valine, leucine, and isoleucine metabolism",EC-2.6.1.42,,,,
VALTA,valine transaminase,[c]akg + val-L <==> 3mob + glu-L,"Valine, leucine, and isoleucine metabolism",EC-2.6.1.42,,,,
LEUTAi,leucine transaminase (irreversible),[c]4mop + glu-L --> akg + leu-L,"Valine, leucine, and isoleucine metabolism",EC-2.6.1.42,,,,
IPPS,2-isopropylmalate synthase,[c]3mob + accoa + h2o --> 3c3hmp + coa + h,"Valine, leucine, and isoleucine metabolism",EC-4.1.3.12,,,,
IPMD,3-isopropylmalate dehydrogenase,[c]3c2hmp + nad --> 3c4mop + h + nadh,"Valine, leucine, and isoleucine metabolism",EC-1.1.1.85,,,,
OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,[c]3c4mop + h --> 4mop + co2,"Valine, leucine, and isoleucine metabolism",,,,,
IPPMIa,3-isopropylmalate dehydratase,[c]3c2hmp <==> 2ippm + h2o,"Valine, leucine, and isoleucine metabolism",EC-4.2.1.33,,,,
IPPMIb,2-isopropylmalate hydratase,[c]2ippm + h2o <==> 3c3hmp,"Valine, leucine, and isoleucine metabolism",EC-4.2.1.33,,,,
,,,,,,,,
Biomass Reaction,,,,,,,,
(0.05) 5mthf + (5.0E-5) accoa + (0.488) ala-L + (0.0010) amp + (0.281) arg-L + (0.229) asn-L + (0.229) asp-L + (45.7318) atp + (1.29E-4) clpn_EC + (6.0E-6) coa + (0.126) ctp + (0.087) cys-L + (0.0247) datp + (0.0254) dctp + (0.0254) dgtp + (0.0247) dttp + (1.0E-5) fad + (0.25) gln-L + (0.25) glu-L + (0.582) gly + (0.154) glycogen + (0.203) gtp + (45.5608) h2o + (0.09) his-L + (0.276) ile-L + (0.428) leu-L + (0.0084) lps_EC + (0.326) lys-L + (0.146) met-L + (0.00215) nad + (5.0E-5) nadh + (1.3E-4) nadp + (4.0E-4) nadph + (0.001935) pe_EC + (0.0276) peptido_EC + (4.64E-4) pg_EC + (0.176) phe-L + (0.21) pro-L + (5.2E-5) ps_EC + (0.035) ptrc + (0.205) ser-L + (0.0070) spmd + (3.0E-6) succoa + (0.241) thr-L + (0.054) trp-L + (0.131) tyr-L + (0.0030) udpg + (0.136) utp + (0.402) val-L --> (45.5608) adp + (45.56035) h + (45.5628) pi + (0.7302) ppi,,,,,,,,
,,,,,,,,
REFERENCES ,,,,,,,,
Articles,,,,,,,,
1,"Adam P, Hecht S, Eisenreich W, Kaiser J, Grawert T, Arigoni D, Bacher A, Rohdich F:  Biosynthesis of terpenes: Studies on 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase. Proc Natl Acad Sci U S A  2002, 99:12103-12113",,,,,,,
2,"Andrianopoulos K, Wang L, Reeves PR.:  Identification of the fucose synthetase gene in the colanic acid gene cluster of Escherichia coli K-12.. J Bacteriol 1998, 180:998-1001",,,,,,,
3,"Ashiuchi M, Misono H.:  Biochemical evidence that Escherichia coli hyi (orf b0508, gip) gene encodes hydroxypyruvate isomerase.. Biochim Biophys Acta 1999, 1435:153-159",,,,,,,
4,"Azizan A, Sherin D, DiRusso CC, Black PN:  Energetics underlying the process of long-chain fatty acid transport. Arch Biochem Biophys 1999, 365:299-306",,,,,,,
5,"Bausch C, Peekhaus N, Utz C, Blais T, Murray E, Lowary T, Conway T:  Sequence analysis of the GntII (subsidiary) system for gluconate metabolism reveals a novel pathway for L-idonic acid catabolism in Escherichia coli. J Bacteriol 1998, 180:3704-3710",,,,,,,
6,"Begley TP, Downs DM, Ealick SE, McLafferty FW, Van Loon AP, Taylor S, Campobasso N, Chiu HJ, Kinsland C, Reddick JJ, Xi J:  Thiamin biosynthesis in prokaryotes. Arch Microbiol 1999, 171:293-300",,,,,,,
7,"Bhatnagar SK, Bullions LC, Bessman MJ:  Characterization of the mutT nucleoside triphosphatase of Escherichia coli.. J Biol Chem 1991, 266:9050-9054",,,,,,,
8,"Blank L, Green J, Guest JR:  AcnC of Escherichia coli is a 2-methylcitrate dehydratase (PrpD) that can use citrate and isocitrate as substrates. Microbiology 2002, 148:133-146",,,,,,,
9,"Bollinger JM Jr, Kwon DS, Huisman GW, Kolter R, Walsh CT.:  Glutathionylspermidine metabolism in Escherichia coli. Purification, cloning, overproduction, and characterization of a bifunctional glutathionylspermidine synthetase/amidase.. J Biol Chem 1995, 270:14031-14041",,,,,,,
10,"Boos W, Shuman H.:  Maltose/maltodextrin system of Escherichia coli: transport, metabolism, and regulation.. Microbiol Mol Biol Rev 1998, 62:204-229",,,,,,,
11,"Brock M, Maerker C, Schutz A, Volker U, Buckel W.:  Oxidation of propionate to pyruvate in Escherichia coli. Involvement of methylcitrate dehydratase and aconitase.. Eur J Biochem 2002, 269:6184-6194",,,,,,,
12,"Bugg TD.:  Overproduction, purification and properties of 2,3-dihydroxyphenylpropionate 1,2-dioxygenase from Escherichia coli.. Biochim Biophys Acta 1993, 1202:258-264",,,,,,,
13,"Cadieux N, Bradbeer C, Reeger-Schneider E, Koster W, Mohanty AK, Wiener MC, Kadner RJ.:  Identification of the periplasmic cobalamin-binding protein BtuF of Escherichia coli.. J Bacteriol 2002, 184:706-717",,,,,,,
14,"Cai H, Clarke S.:  A novel methyltransferase catalyzes the methyl esterification of trans-aconitate in Escherichia coli.. J Biol Chem 1999, 274:13470-13479",,,,,,,
15,"Cai H, Strouse J, Dumlao D, Jung ME, Clarke S.:  Distinct reactions catalyzed by bacterial and yeast trans-aconitate methyltransferases.. Biochemistry 2001, 40:2210-2219",,,,,,,
16,"Campbell JW, Cronan Jr JE Jr:  The enigmatic Escherichia coli fadE gene is yafH.. J. Bacteriology 2002, 184:3759-3764",,,,,,,
17,"Carty SM, Sreekumar KR, Raetz CR.:  Effect of cold shock on lipid A biosynthesis in Escherichia coli. Induction At 12 degrees C of an acyltransferase specific for palmitoleoyl-acyl carrier protein.. J Biol Chem 1999, 274:9677-9685",,,,,,,
18,"Clegg S, Yu F, Griffiths L, Cole JA.:  The roles of the polytopic membrane proteins NarK, NarU and NirC in Escherichia coli K-12: two nitrate and three nitrite transporters.. Mol Microbiol 2002, 44:143-155",,,,,,,
19,"Clugston SL, Barnard JF, Kinach R, Miedema D, Ruman R, Daub E, Honek JF.:  Overproduction and characterization of a dimeric non-zinc glyoxalase I from Escherichia coli: evidence for optimal activation by nickel ions.. Biochemistry 1998, 37:8754-8763",,,,,,,
20,"Contestabile R, Paiardini A, Pascarella S, di Salvo ML, D'Aguanno S, Bossa F.:  l-Threonine aldolase, serine hydroxymethyltransferase and fungal alanine racemase. A subgroup of strictly related enzymes specialized for different functions.. Eur J Biochem 2001, 268:6508-6525",,,,,,,
21,"Cornell KA, Riscoe MK.:  Cloning and expression of Escherichia coli 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase: identification of the pfs gene product.. Biochim Biophys Acta 1998, 1396:8-14",,,,,,,
22,"Cusa E, Obradors N, Baldoma L, Badia J, Aguilar J:  Genetic analysis of a chromosomal region containing genes required for assimilation of allantoin nitrogen and linked glyoxylate metabolism in Escherichia coli. J Bacteriol 1999, 181:7479-7484",,,,,,,
23,"Danese PN, Oliver GR, Barr K, Bowman GD, Rick PD, Silhavy TJ:  Accumulation of the enterobacterial common antigen lipid II biosynthetic intermediate stimulates degP transcription in Escherichia coli. J Bacteriol 1998, 180:5875-5874",,,,,,,
24,"Diaz E, Ferrandez A, Garcia JL:  Characterization of the hca cluster encoding the dioxygenolytic pathway for initial catabolism of 3-phenylpropionic acid in Escherichia coli K-12. J Bacteriol 1998, 180:2915-2923",,,,,,,
25,"Diaz E, Ferrandez A, Prieto MA, Garcia JL.:  Biodegradation of aromatic compounds by Escherichia coli.. Microbiol Mol Biol Rev 2001, 65:523-569",,,,,,,
26,"Ehmann DE, Shaw-Reid CA, Losey HC, Walsh CT:  The EntF and EntE adenylation domains of Escherichia coli enterobactin synthetase: sequestration and selectivity in acyl-AMP transfers to thiolation domain cosubstrates. Proc Natl Acad Sci U S A  1997, 97:2509-2514",,,,,,,
27,"Eichhorn E, van der Ploeg JR, Leisinger T.:  Deletion analysis of the Escherichia coli taurine and alkanesulfonate transport systems.. J Bacteriol 2000, 182:2687-2695",,,,,,,
28,"Elssner T, Engemann C, Baumgart K, Kleber HP.:  Involvement of coenzyme A esters and two new enzymes, an enoyl-CoA hydratase and a CoA-transferase, in the hydration of crotonobetaine to L-carnitine by Escherichia coli.. Biochemistry 2001, 40:11140-11148",,,,,,,
29,"Falkenberg P, Strom AR.:  Purification and characterization of osmoregulatory betaine aldehyde dehydrogenase of Escherichia coli.. Biochim Biophys Acta 1990, 1034:253-259",,,,,,,
30,"Faure M, Bourguignon J, Neuburger M, MacHerel D, Sieker L, Ober R, Kahn R, Cohen-Addad C, Douce R:  Interaction between the lipoamide-containing H-protein and the lipoamide dehydrogenase (L-protein) of the glycine decarboxylase multienzyme system 2. Crystal structures of H- and L-proteins. Eur J Biochem  2000, 267:2890-2898",,,,,,,
31,"Ferrandez A, Garcia JL, Diaz E:  Genetic characterization and expression in heterologous hosts of the 3-(3-hydroxyphenyl)propionate catabolic pathway of Escherichia coli K-12. J Bacteriol 1997, 179:2573-2581",,,,,,,
32,"Ferrandez A, Minambres B, Garcia B, Olivera ER, Luengo JM, Garcia JL, Diaz E.:  Catabolism of phenylacetic acid in Escherichia coli. Characterization of a new aerobic hybrid pathway.. J Biol Chem 1998, 273:25974-25986",,,,,,,
33,"Ferrandez A, Prieto MA, Garcia JL, Diaz E.:  Molecular characterization of PadA, a phenylacetaldehyde dehydrogenase from Escherichia coli.. FEBS Lett 1997, 406:23-27",,,,,,,
34,"Fraser HI, Kvaratskhelia M, White MF.:  The two analogous phosphoglycerate mutases of Escherichia coli.. FEBS Lett 1999, 455:344-348",,,,,,,
35,"Fukuchi J, Kashiwagi K, Takio K, Igarashi K:  Properties and structure of spermidine acetyltransferase in Escherichia coli. J Biol Chem 1994, 269:22581-22585",,,,,,,
36,"Ganea C, Pourcher T, Leblanc G, Fendler K:  Evidence for intraprotein charge transfer during the transport activity of the melibiose permease from Escherichia coli. Biochemistry 2001, 40:13744-13752",,,,,,,
37,"Gehring AM, Mori I, Walsh CT:  Reconstitution and characterization of the Escherichia coli enterobactin synthetase from EntB, EntE, and EntF. Biochemistry 1998, 37:2648-2659",,,,,,,
38,"Giaever HM, Styrvold OB, Kaasen I, Strom AR.:  Biochemical and genetic characterization of osmoregulatory trehalose synthesis in Escherichia coli.. J Bacteriol 1988, 170:2841-2849",,,,,,,
39,"Gon S, Patte JC, Mejean V, Iobbi-Nivol C.:  The torYZ (yecK bisZ) operon encodes a third respiratory trimethylamine N-oxide reductase in Escherichia coli.. J Bacteriol 2000, 182:5779-5786",,,,,,,
40,"Guilloton MB, Lamblin AF, Kozliak EI, Gerami-Nejad M, Tu C, Silverman D, Anderson PM, Fuchs JA.:  A physiological role for cyanate-induced carbonic anhydrase in Escherichia coli.. J Bacteriol 1993, 175:1443-1451",,,,,,,
41,"Guranowski A, Jakubowski H, Holler E.:  Catabolism of diadenosine 5',5""'-P1,P4-tetraphosphate in procaryotes. Purification and properties of diadenosine 5',5""'-P1,P4-tetraphosphate (symmetrical) pyrophosphohydrolase from Escherichia coli K12.. J Biol Chem 1983, 258:14784-14789",,,,,,,
42,"Gutknecht R, Beutler R, Garcia-Alles LF, Baumann U, Erni B.:  The dihydroxyacetone kinase of Escherichia coli utilizes a phosphoprotein instead of ATP as phosphoryl donor.. EMBO J 2001, 20:2480-2486",,,,,,,
43,"Haller T, Buckel T, Retey J, Gerlt JA.:  Discovering new enzymes and metabolic pathways: conversion of succinate to propionate by Escherichia coli.. Biochemistry 2000, 39:4622-4629",,,,,,,
44,"Heath, R.J. and C.O. Rock:  Roles of FabA and FabZ b-hydroxyacyl-acyl-carrier protein dehydratases in Escherichia coli fatty acid biosynthesis. Journal of Biological Chemistry 1996, 271:27795-27801",,,,,,,
45,"Hecht S, Eisenreich W, Adam P, Amslinger S, Kis K, Bacher A, Arigoni D, Rohdich F.:  Studies on the nonmevalonate pathway to terpenes: the role of the GcpE (IspG) protein.. Proc Natl Acad Sci U S A 2001, 98:14837-14842",,,,,,,
46,"Heller KB, Lin EC, Wilson TH.:  Substrate specificity and transport properties of the glycerol facilitator of Escherichia coli.. J Bacteriol 1980, 144:274-278",,,,,,,
47,"Hesslinger C, Fairhurst SA, Sawers G.:  Novel keto acid formate-lyase and propionate kinase enzymes are components of an anaerobic pathway in Escherichia coli that degrades L-threonine to propionate.. Mol Microbiol 1998, 27:477-492",,,,,,,
48,"Hoeffler JF, Hemmerlin A, Grosdemange-Billiard C, Bach TJ, Rohmer M.:  Isoprenoid biosynthesis in higher plants and in Escherichia coli: on the branching in the methylerythritol phosphate pathway and the independent biosynthesis of isopentenyl diphosphate and dimethylallyl diphosphate.. Biochem J 2002, 366:573-583",,,,,,,
49,"Hollenbach AD, Dickson KA, Washabaugh MW.:  Thiamine transport in Escherichia coli: the mechanism of inhibition by the sulfhydryl-specific modifier N-ethylmaleimide.. Biochim Biophys Acta 2002, 1564:421-428",,,,,,,
50,"Horlacher R, Uhland K, Klein W, Ehrmann M, Boos W.:  Characterization of a cytoplasmic trehalase of Escherichia coli.. J Bacteriol 1996, 178:6250-6257",,,,,,,
51,"Hubbard BK, Koch M, Palmer DR, Babbitt PC, Gerlt JA.:  Evolution of enzymatic activities in the enolase superfamily: characterization of the (D)-glucarate/galactarate catabolic pathway in Escherichia coli.. Biochemistry 1998, 37:14369-14375",,,,,,,
52,"Jackowski S, Jackson PD, Rock CO:  Sequence and function of the aas gene in Escherichia coli. J Biol Chem 1994, 269:2921-2928",,,,,,,
53,"Janausch IG, Zientz E, Tran QH, Kroger A, Unden G:  C4-dicarboxylate carriers and sensors in bacteria. Biochim Biophys Acta 2002, 1553:39-56",,,,,,,
54,"Jung H, Buchholz M, Clausen J, Nietschke M, Revermann A, Schmid R, Jung K.:  CaiT of Escherichia coli, a new transporter catalyzing L-carnitine/gamma -butyrobetaine exchange.. J Biol Chem 2002, 277:39251-39258",,,,,,,
55,"Kaasen I, McDougall J, Strom AR.:  Analysis of the otsBA operon for osmoregulatory trehalose synthesis in Escherichia coli and homology of the OtsA and OtsB proteins to the yeast trehalose-6-phosphate synthase/phosphatase complex.. Gene 1994, 145:9-15",,,,,,,
56,"Kammler M, Schon C, Hantke K:  Characterization of the ferrous iron uptake system of Escherichia coli. J Bacteriol 1993, 175:6212-6219",,,,,,,
57,"Karasawa K, Kudo I, Kobayashi T, Sa-Eki T, Inoue K, Nojima S.:  Purification and Characterization of Lysophospholipase L2 of Escherichia coli. J Biochem (Tokyo) 1985, 98:1117-1125",,,,,,,
58,"Karp PD, Riley M, Saier M, Paulsen IT, Collado-Vides J, Paley SM, Pellegrini-Toole A, Bonavides C, Gama-Castro S:  The EcoCyc Database. Nucleic Acids Res 2002, 30:56-58",,,,,,,
59,"Kashiwagi K, Shibuya S, Tomitori H, Kuraishi A, Igarashi K.:  Excretion and uptake of putrescine by the PotE protein in Escherichia coli.. J Biol Chem 1997, 272:6318-6323",,,,,,,
60,"Kawai S, Mori S, Mukai T, Hashimoto W, Murata K:  Molecular characterization of Escherichia coli NAD kinase. European J. of Biochemistry 2001, 268:4359-4365",,,,,,,
61,"Kim YM, Ogawa W, Tamai E, Kuroda T, Mizushima T, Tsuchiya T.:  Purification, reconstitution, and characterization of Na(+)/serine symporter, SstT, of Escherichia coli.. J Biochem 2002, 132:71-76",,,,,,,
62,"Kloszewska, M.:  Biosynthesis of Bacterial Peptidoglycan. Acta Microbiologica Polonica 1996, 45:119-130",,,,,,,
63,"Kneidinger B, Marolda C, Graninger M, Zamyatina A, McArthur F, Kosma P, Valvano MA, Messner P.:  Biosynthesis pathway of ADP-L-glycero-beta-D-manno-heptose in Escherichia coli.. J Bacteriol 2002, 184:363-369",,,,,,,
64,"Lamark T, Kaasen I, Eshoo MW, Falkenberg P, McDougall J, Strom AR.:  DNA sequence and analysis of the bet genes encoding the osmoregulatory choline-glycine betaine pathway of Escherichia coli.. Mol Microbiol 1991, 5:1049-1064",,,,,,,
65,"Larson TJ, van Loo-Bhattacharya AT:  Purification and characterization of glpQ-encoded glycerophosphodiester phosphodiesterase from Escherichia coli K-12.. Arch Biochem Biophys 1988, 260:577-584",,,,,,,
66,"Lauhon CT, Kambampati R:  The iscS gene in Escherichia coli is required for the biosynthesis of 4-thiouridine, thiamin, and NAD. J Biol Chem 2000, 275:20096-20103",,,,,,,
67,"Lawrence JG, Roth JR.:  The cobalamin (coenzyme B12) biosynthetic genes of Escherichia coli. The cobalamin (coenzyme B12) biosynthetic genes of Escherichia coli.. J Bacteriol 1995, 177:6371-6380",,,,,,,
68,"Limon A, Hidalgo E, Aguilar J:  The aldA gene of Escherichia coli is under the control of at least three transcriptional regulators. Microbiology 1997, 146:2085-2095",,,,,,,
69,"Lyngstadaas A, Lobner-Olesen A, Boye E.:  Characterization of three genes in the dam-containing operon of Escherichia coli.. Mol Gen Genet 1995, 247:546-554",,,,,,,
70,"Matsuhisa A, Suzuki N, Noda T, Shiba K.:  Inositol monophosphatase activity from the Escherichia coli suhB gene product.. J Bacteriol 1995, 177:200-205",,,,,,,
71,"Maynes JT, Yuan RG, Snyder FF.:  Identification, expression, and characterization of Escherichia coli guanine deaminase.. J Bacteriol 2000, 182:4658-4660",,,,,,,
72,"Merlin,Christophe , Gregory Gardiner, Sylvain Durand, and Millicent Masters:  The Escherichia coli metD Locus Encodes an ABC Transporter Which Includes Abc (MetN), YaeE (MetI), and YaeC (MetQ). J Bacteriol 2002, 184:5513-5517",,,,,,,
73,"Meyer E, Kappock TJ, Osuji C, Stubbe J.:  Evidence for the direct transfer of the carboxylate of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to generate 4-carboxy-5-aminoimidazole ribonucleotide catalyzed by Escherichia coli PurE, an N5-CAIR mutase.. Biochemistry 1999, 38:3012-3018",,,,,,,
74,"Nishijima M, Nakaike S, Tamori Y, Nojima S:  Detergent-resistant phospholipase A of Escherichia coli K-12. Purification and properties. Eur J Biochem 1977, 73:115-124",,,,,,,
75,"Norholm MH, Dandanell G:  Specificity and topology of the Escherichia coli xanthosine permease, a representative of the NHS subfamily of the major facilitator superfamily. J Bacteriol 2001, 183:4900-4904",,,,,,,
76,"Nunez MF, Kwon O, Wilson TH, Aguilar J, Baldoma L, Lin EC.:  Transport of L-Lactate, D-Lactate, and glycolate by the LldP and GlcA membrane carriers of Escherichia coli.. Biochem Biophys Res Commun 2002, 290:824-829",,,,,,,
77,"Nunez MF, Pellicer MT, Badia J, Aguilar J, Baldoma L:  Biochemical characterization of the 2-ketoacid reductases encoded by ycdW and yiaE genes in Escherichia coli. Biochem J 2001, 354:707-715",,,,,,,
78,"Ogawa H, Gomi T, Fujioka M.:  Serine hydroxymethyltransferase and threonine aldolase: are they identical?. Int J Biochem Cell Biol 2000, 32:289-301",,,,,,,
79,"Ogawa W, Kim YM, Mizushima T, Tsuchiya T.:  Cloning and expression of the gene for the Na+-coupled serine transporter from Escherichia coli and characteristics of the transporter.. J Bacteriol 1998, 180:6749-6752",,,,,,,
80,"Ollagnier-De-Choudens S, Mulliez E, Hewitson KS, Fontecave M.:  Biotin synthase is a pyridoxal phosphate-dependent cysteine desulfurase. Biochemistry 2002, 41:9145-9152",,,,,,,
81,"Paulsen IT, Reizer J, Jin RZ, Lin EC, Saier MH Jr.:  Functional genomic studies of dihydroxyacetone utilization in Escherichia coli.. Microbiology 2000, 146:2343-4",,,,,,,
82,"Pi J, Chow H, Pittard AJ.:  Study of second-site suppression in the pheP gene for the phenylalanine transporter of Escherichia coli.. J Bacteriol 2002, 184:5842-5847",,,,,,,
83,"Pierson DE, Campbell A.:  Cloning and nucleotide sequence of bisC, the structural gene for biotin sulfoxide reductase in Escherichia coli.. J Bacteriol 1990, 172:2194-2198",,,,,,,
84,"Plumbridge, J and E Vimr:  Convergent Pathways for Utilization of the Amino Sugars N-Acetylglucosamine, N-Acetylmannosamine, and N-Acetylneuraminic Acid by Escherichia coli. Journal of Bacteriology 1999, 181:47-54",,,,,,,
85,"Pollock VV, Barber MJ.:  Biotin sulfoxide reductase. Heterologous expression and characterization of a functional molybdopterin guanine dinucleotide-containing enzyme.. J Biol Chem 1997, 272:3355-3362",,,,,,,
86,"Poon WW, Barkovich RJ, Hsu AY, Frankel A, Lee PT, Shepherd JN, Myles DC, Clarke CF:  Yeast and rat Coq3 and Escherichia coli UbiG polypeptides catalyze both O-methyltransferase steps in coenzyme Q biosynthesis. J Biological Chemistry 1999, 274:21665-21672",,,,,,,
87,"Pos KM, Dimroth P, Bott M.:  The Escherichia coli citrate carrier CitT: a member of a novel eubacterial transporter family related to the 2-oxoglutarate/malate translocator from spinach chloroplasts.. J Bacteriol 1998, 180:4160-4165",,,,,,,
88,"Prasad I, Young B, Schaefler S.:  Genetic determination of the constitutive biosynthesis of phospho- -glucosidase A in Escherichia coli K-12. J Bacteriol  1973, 114:909-915",,,,,,,
89,"Quentmeier A, Holzenburg A, Mayer F, Antranikian G.:  Reevaluation of citrate lyase from Escherichia coli.. Biochim Biophys Acta 1987, 913:60-65",,,,,,,
90,"Rahman A, Barr K, Rick PD:  Identification of the structural gene for the TDP-Fuc4NAc:lipid II Fuc4NAc transferase involved in synthesis of enterobacterial common antigen in Escherichia coli K-12. J Bacteriol 2001, 183:6509-6516",,,,,,,
91,"Ray WK, Zeng G, Potters MB, Mansuri AM, Larson TJ.:  Characterization of a 12-kilodalton rhodanese encoded by glpE of Escherichia coli and its interaction with thioredoxin.. J Bacteriol 2000, 182:2277-2284",,,,,,,
92,"Reaney SK, Begg C, Bungard SJ, Guest JR.:  Identification of the L-tartrate dehydratase genes (ttdA and ttdB) of Escherichia coli and evolutionary relationship with the class I fumarase genes.. J Gen Microbiol 1993, 139:1523-1530",,,,,,,
93,"Robbins JC, Oxender DL:  Transport systems for alanine, serine, and glycine in Escherichia coli K-12. J Bacteriology 1973, 116:12-18",,,,,,,
94,"Rohdich F, Hecht S, Gartner K, Adam P, Krieger C, Amslinger S, Arigoni D, Bacher A, Eisenreich W:  Studies on the nonmevalonate terpene biosynthetic pathway: metabolic role of IspH (LytB) protein.. PNAS 2002, 99:1158-1163",,,,,,,
95,"Ryle MJ, Padmakumar R, Hausinger RP.:  Stopped-flow kinetic analysis of Escherichia coli taurine/alpha-ketoglutarate dioxygenase: interactions with alpha-ketoglutarate, taurine, and oxygen.. Biochemistry 1999, 38:15278-15286",,,,,,,
96,"Scandella CJ, Kornberg A:  A membrane-bound phospholipase A1 purified from Escherichia coli.. Biochemistry 1971, 10:4447-4456",,,,,,,
97,"Schauder S, Shokat K, Surette MG, Bassler BL.:  The LuxS family of bacterial autoinducers: biosynthesis of a novel quorum-sensing signal molecule.. Mol Microbiol 2001, 41:463-476",,,,,,,
98,"Schirch V, Hopkins S, Villar E, and Angelaccio S:  Serin Hydroxymethyltransferase from Escherichia coli: Purification and Properties. J Bacteriology 1985, 163:1-7",,,,,,,
99,"Schneider BL, Kiupakis AK, Reitzer LJ.:  Arginine catabolism and the arginine succinyltransferase pathway in Escherichia coli.. J Bacteriol 1998, 180:4278-4286",,,,,,,
100,"Schurmann M, Sprenger GA.:  Fructose-6-phosphate aldolase is a novel class I aldolase from Escherichia coli and is related to a novel group of bacterial transaldolases.. J Biol Chem 2001, 276:11055-11061",,,,,,,
101,"Sekowska A, Danchin A:  The methionine salvage pathway in Bacillus subtilis. BMC Microbiol  2002, 2:-",,,,,,,
102,"Sirko A, Zatyka M, Sadowy E, Hulanicka D.:  Sulfate and thiosulfate transport in Escherichia coli K-12: evidence for a functional overlapping of sulfate- and thiosulfate-binding proteins.. J Bacteriol 1995, 177:4134-4136",,,,,,,
103,"Soupene E, Lee H, Kustu S.:  Ammonium/methylammonium transport (Amt) proteins facilitate diffusion of NH3 bidirectionally. Proc Natl Acad Sci U S A  2002, 99:3926-3931",,,,,,,
104,"Stevenson G, Andrianopoulos K, Hobbs M, Reeves PR.:  Organization of the Escherichia coli K-12 gene cluster responsible for production of the extracellular polysaccharide colanic acid.. J Bacteriol 1996, 178:4885-4893",,,,,,,
105,"Sung YC, Fuchs JA.:  Identification and characterization of a cyanate permease in Escherichia coli K-12.. J Bacteriol 1989, 171:4674-4678",,,,,,,
106,"Textor S, Wendisch VF, De Graaf AA, Muller U, Linder MI, Linder D, Buckel W:  Propionate oxidation in Escherichia coli: evidence for operation of a methylcitrate cycle in bacteria. Arch Microbiol 1997, 168:428-436",,,,,,,
107,"Thomson GJ, Howlett GJ, Ashcroft AE, Berry A.:  The dhnA gene of Escherichia coli encodes a class I fructose bisphosphate aldolase.. Biochem J 1998, 331:437-445",,,,,,,
108,"Totemeyer S, Booth NA, Nichols WW, Dunbar B, Booth IR.:  From famine to feast: the role of methylglyoxal production in Escherichia coli.. Mol Microbiol 1998, 27:553-562",,,,,,,
109,"Truniger V, Boos W.:  Mapping and cloning of gldA, the structural gene of the Escherichia coli glycerol dehydrogenase.. J Bacteriol 1994, 176:1796-1800",,,,,,,
110,"Unden G, Bongaerts J.:  Alternative respiratory pathways of Escherichia coli: energetics and transcriptional regulation in response to electron acceptors.. Biochim Biophys Acta 1997, 1320:217-234",,,,,,,
111,"van der Rest ME, Frank C, Molenaar D.:  Functions of the membrane-associated and cytoplasmic malate dehydrogenases in the citric acid cycle of Escherichia coli.. J Bacteriol 2000, 182:6892-6899",,,,,,,
112,"Veres Z, Kim IY, Scholz TD, Stadtman TC.:  Selenophosphate synthetase. Enzyme properties and catalytic reaction.. J Biol Chem 1994, 269:10597-10603",,,,,,,
113,"Walt A, Kahn ML.:  The fixA and fixB genes are necessary for anaerobic carnitine reduction in Escherichia coli.. J Bacteriol 2002, 184:4044-4047",,,,,,,
114,"Wei J, Leyh TS:  Isomerization couples chemistry in the ATP sulfurylase-GTPase system. Biochemistry 1999, 38:6311-6316",,,,,,,
115,"Winzer K, Hardie KR, Burgess N, Doherty N, Kirke D, Holden MT, Linforth R, Cornell KA, Taylor AJ, Hill PJ, Williams P.:  LuxS: its role in central metabolism and the in vitro synthesis of 4-hydroxy-5-methyl-3(2H)-furanone.. Microbiology 2002, 148:909-922",,,,,,,
116,"Wungsintaweekul J, Herz S, Hecht S, Eisenreich W, Feicht R, Rohdich F, Bacher A, Zenk MH.:  Phosphorylation of 1-deoxy-D-xylulose by D-xylulokinase of Escherichia coli.. Eur J Biochem 2001, 268:310-316",,,,,,,
117,"Wurgler SM, Richardson CC:  DNA binding properties of the deoxyguanosine triphosphate triphosphohydrolase of Escherichia coli. J Biol Chem 1993, 268:20046-20054",,,,,,,
118,"Yang Y, Tsui HC, Man TK, Winkler ME.:  Identification and function of the pdxY gene, which encodes a novel pyridoxal kinase involved in the salvage pathway of pyridoxal 5'-phosphate biosynthesis in Escherichia coli K-12.. J Bacteriol 1998, 180:1814-1821",,,,,,,
119,"Yanofsky C, Horn V, Gollnick P.:  Physiological studies of tryptophan transport and tryptophanase operon induction in Escherichia coli.. J Bacteriol 1991, 173:6009-6017",,,,,,,
120,"Yew WS, Gerlt JA:  Utilization of L-ascorbate by Escherichia coli K-12: assignments of functions to products of the yjf-sga and yia-sgb operons. J Bacteriol 2002, 184:302-306",,,,,,,
